Date,ios_file_size,ios_all_ratings,ios_current_ratings
19-08-2016 06:40,106,204331,11147
19-08-2016 06:50,106,204331,11147
19-08-2016 07:00,106,204331,11147
19-08-2016 07:10,106,204331,11147
19-08-2016 07:20,106,204331,11147
19-08-2016 07:30,106,204475,11327
19-08-2016 07:40,106,204475,11147
19-08-2016 07:50,106,204475,11327
19-08-2016 08:00,106,204475,11327
19-08-2016 08:10,106,204475,11327
19-08-2016 08:20,106,204475,11327
19-08-2016 08:30,106,204475,11327
19-08-2016 08:40,106,204475,11327
19-08-2016 08:50,106,204475,11327
19-08-2016 09:00,106,204475,11327
19-08-2016 09:10,106,204475,11327
19-08-2016 09:20,106,204475,11327
19-08-2016 09:30,106,204475,11327
19-08-2016 09:40,106,204475,11327
19-08-2016 09:50,106,204475,11327
19-08-2016 10:00,106,204475,11327
19-08-2016 10:10,106,204475,11327
19-08-2016 10:20,106,204475,11327
19-08-2016 10:30,106,204475,11327
19-08-2016 10:40,106,204475,11327
19-08-2016 10:50,106,204548,11327
19-08-2016 11:00,106,204548,11327
19-08-2016 11:10,106,204548,11407
19-08-2016 11:20,106,204548,11407
19-08-2016 11:30,106,204548,11407
19-08-2016 11:40,106,204548,11407
19-08-2016 11:50,106,204548,11407
19-08-2016 12:00,106,204548,11407
19-08-2016 12:10,106,204548,11407
19-08-2016 12:20,106,204548,11407
19-08-2016 12:30,106,204548,11407
19-08-2016 12:40,106,204548,11407
19-08-2016 12:50,106,204548,11407
19-08-2016 13:00,106,204548,11407
19-08-2016 13:10,106,204548,11407
19-08-2016 13:20,106,204548,11407
19-08-2016 13:30,106,204548,11407
19-08-2016 13:40,106,204548,11407
19-08-2016 13:50,106,204548,11407
19-08-2016 14:00,106,204548,11407
19-08-2016 14:10,106,204548,11407
19-08-2016 14:20,106,204548,11407
19-08-2016 14:30,106,204548,11407
19-08-2016 14:40,106,204548,11407
19-08-2016 14:50,106,204548,11407
19-08-2016 15:00,106,204659,11542
19-08-2016 15:10,106,204659,11542
19-08-2016 15:20,106,204659,11542
19-08-2016 15:30,106,204659,11542
19-08-2016 15:40,106,204659,11542
19-08-2016 15:50,106,204659,11542
19-08-2016 16:00,106,204659,11542
19-08-2016 16:10,106,204659,11542
19-08-2016 16:20,106,204659,11542
19-08-2016 16:30,106,204659,11542
19-08-2016 16:40,106,204659,11542
19-08-2016 16:50,106,204659,11542
19-08-2016 17:00,106,204659,11542
19-08-2016 17:10,106,204659,11542
19-08-2016 17:20,106,204659,11542
19-08-2016 17:30,106,204659,11542
19-08-2016 17:40,106,204659,11542
19-08-2016 17:50,106,204659,11542
19-08-2016 18:00,106,204659,11542
19-08-2016 18:10,106,204659,11542
19-08-2016 18:20,106,204659,11542
19-08-2016 18:30,106,204659,11542
19-08-2016 18:40,106,204659,11542
19-08-2016 18:50,106,204659,11542
19-08-2016 19:00,106,204659,11724
19-08-2016 19:10,106,204659,11724
19-08-2016 19:20,106,204822,11724
19-08-2016 19:30,106,204822,11724
19-08-2016 19:40,106,204822,11724
19-08-2016 19:50,106,204822,11724
19-08-2016 20:00,106,204822,11724
