Unnamed: 0,android_total_ratings,ios_file_size,ios_current_ratings,ios_all_ratings,android_avg_rating,android_rating_1,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_file_size
7/22/2016 8:30,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 8:40,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 8:50,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:00,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:10,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:20,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:30,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:40,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 9:50,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:00,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:10,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:20,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:30,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:40,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 10:50,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:00,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:10,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:20,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:30,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:40,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 11:50,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 12:00,1389049,110,8713,110258,3.9,214408,181820,788267,76578,127976,58
7/22/2016 12:10,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 12:20,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 12:30,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
7/22/2016 12:40,1402647,110,8713,110258,3.9,216245,183761,796129,77211,129301,58
