,Unnamed: 0,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
155,2016-07-22 01:50:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
156,2016-07-22 02:00:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
157,2016-07-22 02:10:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
158,2016-07-22 02:20:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
159,2016-07-22 02:30:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
160,2016-07-22 02:40:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
161,2016-07-22 02:50:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
162,2016-07-22 03:00:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
163,2016-07-22 03:10:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
164,2016-07-22 03:20:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
165,2016-07-22 03:30:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
166,2016-07-22 03:40:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
167,2016-07-22 03:50:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
168,2016-07-22 04:00:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
169,2016-07-22 04:10:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
170,2016-07-22 04:20:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
171,2016-07-22 04:30:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
172,2016-07-22 04:40:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
173,2016-07-22 04:50:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
174,2016-07-22 05:00:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
175,2016-07-22 05:10:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
176,2016-07-22 05:20:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
177,2016-07-22 05:30:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
178,2016-07-22 05:40:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
179,2016-07-22 05:50:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
180,2016-07-22 06:00:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
181,2016-07-22 06:10:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
182,2016-07-22 06:20:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
183,2016-07-22 06:30:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
184,2016-07-22 06:40:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
185,2016-07-22 06:50:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
186,2016-07-22 07:00:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
187,2016-07-22 07:10:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
188,2016-07-22 07:20:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
189,2016-07-22 07:30:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
190,2016-07-22 07:40:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
191,2016-07-22 07:50:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
192,2016-07-22 08:00:00,1370721,3.9,58.0,179345,779256,75228,125886,211006
193,2016-07-22 08:10:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
194,2016-07-22 08:20:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
195,2016-07-22 08:30:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
196,2016-07-22 08:40:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
197,2016-07-22 08:50:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
198,2016-07-22 09:00:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
199,2016-07-22 09:10:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
200,2016-07-22 09:20:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
201,2016-07-22 09:30:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
202,2016-07-22 09:40:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
203,2016-07-22 09:50:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
204,2016-07-22 10:00:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
205,2016-07-22 10:10:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
206,2016-07-22 10:20:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
207,2016-07-22 10:30:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
208,2016-07-22 10:40:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
209,2016-07-22 10:50:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
210,2016-07-22 11:00:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
211,2016-07-22 11:10:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
212,2016-07-22 11:20:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
213,2016-07-22 11:30:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
214,2016-07-22 11:40:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
215,2016-07-22 11:50:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
216,2016-07-22 12:00:00,1389049,3.9,58.0,181820,788267,76578,127976,214408
217,2016-07-22 12:10:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
218,2016-07-22 12:20:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
219,2016-07-22 12:30:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
220,2016-07-22 12:40:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
221,2016-07-22 12:50:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
222,2016-07-22 13:00:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
223,2016-07-22 13:10:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
224,2016-07-22 13:20:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
225,2016-07-22 13:30:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
226,2016-07-22 13:40:00,1402647,3.9,58.0,183761,796129,77211,129301,216245
